id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_120_landingpage","LandingPage → TextGenerateEffect","LandingPage → TextGenerateEffect","intra_community",3,"['comm_84']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/components/animations/text-generate-effect.tsx:TextGenerateEffect"
"proc_121_landingpage","LandingPage → FadeIn","LandingPage → FadeIn","intra_community",3,"['comm_84']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/components/animations/fade-in.tsx:FadeIn"
"proc_122_landingpage","LandingPage → StaggerContainer","LandingPage → StaggerContainer","intra_community",3,"['comm_84']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/components/animations/fade-in.tsx:StaggerContainer"
"proc_123_landingpage","LandingPage → StaggerItem","LandingPage → StaggerItem","intra_community",3,"['comm_84']","Function:frontend/app/page.tsx:LandingPage","Function:frontend/components/animations/fade-in.tsx:StaggerItem"
"proc_124_imageviewer","ImageViewer → Cn","ImageViewer → Cn","cross_community",3,"['comm_87','comm_78']","Function:frontend/components/editor/image-viewer.tsx:ImageViewer","Function:frontend/lib/utils.ts:cn"
"proc_125_register","Register → Create_access_token","Register → Create_access_token","intra_community",3,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:register","Function:backend/app/core/security.py:create_access_token"
"proc_126_register","Register → Hash_refresh_token","Register → Hash_refresh_token","intra_community",3,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:register","Function:backend/app/core/security.py:hash_refresh_token"
"proc_127_dev_login","Dev_login → Hash_refresh_token","Dev_login → Hash_refresh_token","intra_community",3,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:dev_login","Function:backend/app/core/security.py:hash_refresh_token"
"proc_128_dev_login","Dev_login → Create_access_token","Dev_login → Create_access_token","intra_community",3,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:dev_login","Function:backend/app/core/security.py:create_access_token"
"proc_129_get_final_text","Get_final_text → _kept_corrections","Get_final_text → _kept_corrections","intra_community",3,"['comm_14']","Function:backend/app/api/v1/endpoints/corrections.py:get_final_text","Function:backend/app/services/llm_correction_service.py:_kept_corrections"
"proc_130_rendertextwithsugges","RenderTextWithSuggestions → TooltipProvider","RenderTextWithSuggestions → TooltipProvider","intra_community",3,"['comm_88']","Function:frontend/components/editor/text-editor.tsx:renderTextWithSuggestions","Function:frontend/components/ui/tooltip.tsx:TooltipProvider"
"proc_131_login","Login → Create_access_token","Login → Create_access_token","intra_community",3,"['comm_12']","Function:backend/app/api/v1/endpoints/auth.py:login","Function:backend/app/core/security.py:create_access_token"
"proc_132_save_tiptap","Save_tiptap → Node_text","Save_tiptap → Node_text","intra_community",3,"['comm_17']","Function:backend/app/api/v1/endpoints/ocr.py:save_tiptap","Function:backend/app/services/tiptap_service.py:node_text"
"proc_133_toaster","Toaster → Cn","Toaster → Cn","cross_community",3,"['comm_72','comm_78']","Function:frontend/components/ui/toaster.tsx:Toaster","Function:frontend/lib/utils.ts:cn"
"proc_134_pageuploadpanel","PageUploadPanel → Cn","PageUploadPanel → Cn","cross_community",3,"['comm_77','comm_78']","Function:frontend/components/editor/page-upload-panel.tsx:PageUploadPanel","Function:frontend/lib/utils.ts:cn"
"proc_135_commanddialog","CommandDialog → Cn","CommandDialog → Cn","cross_community",3,"['comm_93','comm_78']","Function:frontend/components/ui/command.tsx:CommandDialog","Function:frontend/lib/utils.ts:cn"
"proc_136_export_docx","Export_docx → _get_owned_document","Export_docx → _get_owned_document","intra_community",3,"['comm_16']","Function:backend/app/api/v1/endpoints/exports.py:export_docx","Function:backend/app/api/v1/endpoints/exports.py:_get_owned_document"
"proc_137_export_docx","Export_docx → Get_storage","Export_docx → Get_storage","cross_community",3,"['comm_16','comm_20']","Function:backend/app/api/v1/endpoints/exports.py:export_docx","Function:backend/app/storage/__init__.py:get_storage"
"proc_138_export_pdf","Export_pdf → _get_owned_document","Export_pdf → _get_owned_document","intra_community",3,"['comm_16']","Function:backend/app/api/v1/endpoints/exports.py:export_pdf","Function:backend/app/api/v1/endpoints/exports.py:_get_owned_document"
"proc_139_export_pdf","Export_pdf → Get_storage","Export_pdf → Get_storage","cross_community",3,"['comm_16','comm_20']","Function:backend/app/api/v1/endpoints/exports.py:export_pdf","Function:backend/app/storage/__init__.py:get_storage"
"proc_140_hydrate","Hydrate → ReadCookie","Hydrate → ReadCookie","intra_community",3,"['comm_74']","Function:frontend/lib/auth-store.ts:hydrate","Function:frontend/lib/api/client.ts:readCookie"
"proc_141_hydrate","Hydrate → WriteCookie","Hydrate → WriteCookie","intra_community",3,"['comm_74']","Function:frontend/lib/auth-store.ts:hydrate","Function:frontend/lib/api/client.ts:writeCookie"
"proc_142_hydrate","Hydrate → ClearCookie","Hydrate → ClearCookie","intra_community",3,"['comm_74']","Function:frontend/lib/auth-store.ts:hydrate","Function:frontend/lib/api/client.ts:clearCookie"
"proc_143_loginpage","LoginPage → UseAuth","LoginPage → UseAuth","intra_community",3,"['comm_75']","Function:frontend/app/(auth)/login/page.tsx:LoginPage","Function:frontend/lib/auth-store.ts:useAuth"
"proc_144_reviewsuggestion","ReviewSuggestion → SortByPageNumber","ReviewSuggestion → SortByPageNumber","intra_community",3,"['comm_80']","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:reviewSuggestion","Function:frontend/app/(dashboard)/dashboard/editor/[id]/page.tsx:sortByPageNumber"
"proc_145_run_inference","Run_inference → Normalize","Run_inference → Normalize","intra_community",3,"['comm_2']","Function:backend/app/ai/denoising/inference.py:run_inference","Function:backend/app/ai/denoising/transforms.py:normalize"
"proc_146_suggestionpopup","SuggestionPopup → Cn","SuggestionPopup → Cn","cross_community",3,"['comm_86','comm_78']","Function:frontend/components/editor/text-editor.tsx:SuggestionPopup","Function:frontend/lib/utils.ts:cn"
"proc_147_hero","Hero → Cn","Hero → Cn","cross_community",3,"['comm_84','comm_86','comm_78']","Function:frontend/components/landing/hero.tsx:Hero","Function:frontend/lib/utils.ts:cn"
"proc_148_logout","Logout → WriteCookie","Logout → WriteCookie","intra_community",3,"['comm_74']","Function:frontend/lib/auth-store.ts:logout","Function:frontend/lib/api/client.ts:writeCookie"
"proc_149_logout","Logout → ClearCookie","Logout → ClearCookie","intra_community",3,"['comm_74']","Function:frontend/lib/auth-store.ts:logout","Function:frontend/lib/api/client.ts:clearCookie"
"proc_150_alertdialogcontent","AlertDialogContent → Cn","AlertDialogContent → Cn","intra_community",3,"['comm_78']","Function:frontend/components/ui/alert-dialog.tsx:AlertDialogContent","Function:frontend/lib/utils.ts:cn"
